year,state_name,state_code,district_name,district_code,block_name,block_code,num_joint_acc_of_women,num_total_acc_of_women,num_women_beneficiary_worker_with_acc,num_women_beneficiary_active_worker_with_acc
2019-2020,Gujarat,24,Bhavnagar,443,Gariadhar,4102,12585,13006,7574,3215
2019-2020,Gujarat,24,Bhavnagar,443,Ghogha,4103,2562,8290,6062,2618
2019-2020,Gujarat,24,Bhavnagar,443,Jesar,7117,6607,6870,6115,2048
2019-2020,Gujarat,24,Bhavnagar,443,Mahuva,4104,6828,17245,6997,3239
2019-2020,Gujarat,24,Bhavnagar,443,Palitana,4105,16862,18176,11544,4148
2019-2020,Gujarat,24,Bhavnagar,443,Shihor,4106,4592,9960,10122,3967
2019-2020,Gujarat,24,Bhavnagar,443,Talaja,4107,15434,20077,10848,5749
2019-2020,Gujarat,24,Bhavnagar,443,Umrala,4108,10954,11354,6599,2787
2019-2020,Gujarat,24,Bhavnagar,443,Vallabhipur,4109,5487,5778,4033,1958
2019-2020,Gujarat,24,Botad,676,Barwala,4050,6337,7629,5000,2622
2019-2020,Gujarat,24,Botad,676,Botad,4100,31,15632,15608,7405
2019-2020,Gujarat,24,Botad,676,Gadhada,4101,9236,12432,7115,3538
2019-2020,Gujarat,24,Botad,676,Ranpur,4057,10742,16099,10063,3107
2019-2020,Gujarat,24,Chhotaudepur,668,Bodeli,7156,6253,15012,10461,2856
2019-2020,Gujarat,24,Chhotaudepur,668,Chhota Udaipur,4257,10117,21416,17964,4896
2019-2020,Gujarat,24,Chhotaudepur,668,Jetpur Pavi,4259,16409,32344,19500,6661
2019-2020,Gujarat,24,Chhotaudepur,668,Kawant,4261,5672,29993,28094,12019
2019-2020,Gujarat,24,Chhotaudepur,668,Nasvadi,4262,6676,19185,16742,4860
2019-2020,Gujarat,24,Chhotaudepur,668,Sankheda,4264,1274,6142,5936,3046
2019-2020,Gujarat,24,Dangs,444,Ahwa,4110,2972,16644,16285,11801
2019-2020,Gujarat,24,Dangs,444,Subir,7109,4316,11427,10380,5925
2019-2020,Gujarat,24,Dangs,444,Waghai,7108,4803,15523,12217,6079
2019-2020,Gujarat,24,Devbhumi Dwarka,674,Bhanvad,4122,3460,8836,7968,2111
2019-2020,Gujarat,24,Devbhumi Dwarka,674,Kalyanpur,4128,10831,19174,11534,2442
2019-2020,Gujarat,24,Devbhumi Dwarka,674,Khambhalia,4129,7001,9768,8162,2218
2019-2020,Gujarat,24,Devbhumi Dwarka,674,Okhamandal,4131,2899,5094,3771,2072
2019-2020,Gujarat,24,Dahod,445,Dahod,4111,18678,59096,55932,30842
2019-2020,Gujarat,24,Dahod,445,Devgad Bariya,4112,7706,45682,36211,20868
2019-2020,Gujarat,24,Dahod,445,Dhanpur,4113,6183,54350,53237,38126
2019-2020,Gujarat,24,Dahod,445,Fatepura,4114,5334,48034,41076,21470
2019-2020,Gujarat,24,Dahod,445,Garbada,4115,20276,54208,45074,17193
2019-2020,Gujarat,24,Dahod,445,Jhalod,4116,4084,55448,55417,31127
2019-2020,Gujarat,24,Dahod,445,Limkheda,4117,3067,39174,36252,20030
2019-2020,Gujarat,24,Dahod,445,Sanjeli,7132,1289,15871,13344,8204
2019-2020,Gujarat,24,Dahod,445,Singvad,7124,10964,35395,22842,12386
2019-2020,Gujarat,24,Gandhinagar,446,Dehgam,4118,3325,7007,5259,1584
2019-2020,Gujarat,24,Gandhinagar,446,Gandhinagar,4119,2024,3897,1412,644
2019-2020,Gujarat,24,Gandhinagar,446,Kalol,4120,3823,5850,2252,1502
2019-2020,Gujarat,24,Gandhinagar,446,Mansa,4121,3784,9748,6425,3541
2019-2020,Gujarat,24,Gir Somnath,675,Gir Gadhada,7158,18060,19496,8872,3847
2019-2020,Gujarat,24,Gir Somnath,675,Kodinar,4135,4978,10343,4667,2943
2019-2020,Gujarat,24,Gir Somnath,675,Patan Veraval,4140,15038,16173,6215,2132
2019-2020,Gujarat,24,Gir Somnath,675,Sutrapada,4141,7104,8729,5814,3970
2019-2020,Gujarat,24,Gir Somnath,675,Talala,4142,5836,6283,3725,920
2019-2020,Gujarat,24,Gir Somnath,675,Una,4143,26867,32935,13756,8644
2019-2020,Gujarat,24,Jamnagar,447,Dhrol,4123,697,5649,6120,3148
2019-2020,Gujarat,24,Jamnagar,447,Jamjodhpur,4124,179,4659,5205,1749
2019-2020,Gujarat,24,Jamnagar,447,Jamnagar,4125,4149,13458,3955,2418
2019-2020,Gujarat,24,Jamnagar,447,Jodiya,4126,817,4031,4164,2087
2019-2020,Gujarat,24,Jamnagar,447,Kalavad,4127,4262,6892,4729,1947
2019-2020,Gujarat,24,Jamnagar,447,Lalpur,4130,1576,3393,2652,873
2019-2020,Gujarat,24,Junagadh,448,Bhesan,4132,5043,7782,7114,2111
2019-2020,Gujarat,24,Junagadh,448,Junagadh,4133,4372,8112,8111,2916
2019-2020,Gujarat,24,Junagadh,448,Keshod,4134,13244,18627,16565,3791
2019-2020,Gujarat,24,Junagadh,448,Malia,4136,19568,22882,20766,3650
2019-2020,Gujarat,24,Junagadh,448,Manavadar,4137,4005,7749,7985,1476
2019-2020,Gujarat,24,Junagadh,448,Mangrol,4138,10112,13882,13185,4811
2019-2020,Gujarat,24,Junagadh,448,Mendarda,4139,2309,6113,4600,1844
2019-2020,Gujarat,24,Junagadh,448,Vanthali,4144,2079,5898,5985,2402
2019-2020,Gujarat,24,Junagadh,448,Visavadar,4145,10372,15184,11250,2373
2019-2020,Gujarat,24,Kachchh,449,Abdasa,4146,9088,16833,5998,3296
2019-2020,Gujarat,24,Kachchh,449,Anjar,4147,4186,9640,5530,2180
2019-2020,Gujarat,24,Kachchh,449,Bhachau,4148,542,4076,3836,2004
2019-2020,Gujarat,24,Kachchh,449,Bhuj,4149,13871,24135,11186,6665
2019-2020,Gujarat,24,Kachchh,449,Gandhidham,4150,60,488,424,102
2019-2020,Gujarat,24,Kachchh,449,Lakhpat,4151,5259,10547,6241,3767
2019-2020,Gujarat,24,Kachchh,449,Mandvi,4152,1313,3823,2740,628
2019-2020,Gujarat,24,Kachchh,449,Mundra,4153,429,1678,1680,500
2019-2020,Gujarat,24,Kachchh,449,Nakhatrana,4154,4264,10799,6911,3854
2019-2020,Gujarat,24,Kachchh,449,Rapar,4155,7516,11462,7564,2386
2019-2020,Gujarat,24,Kheda,450,Galteshwar,7128,5148,7877,5367,1215
2019-2020,Gujarat,24,Kheda,450,Kapadvanj,4157,20431,27267,25498,4816
2019-2020,Gujarat,24,Kheda,450,Kathlal,4158,4763,12326,10403,1532
2019-2020,Gujarat,24,Kheda,450,Kheda,4159,4741,5840,1689,471
2019-2020,Gujarat,24,Kheda,450,Mahudha,4160,185,1621,2184,637
2019-2020,Gujarat,24,Kheda,450,Matar,4161,6502,11356,2172,798
2019-2020,Gujarat,24,Kheda,450,Mehmedabad,4162,2179,10985,2924,1115
2019-2020,Gujarat,24,Kheda,450,Nadiad,4163,3887,11110,2230,945
2019-2020,Gujarat,24,Kheda,450,Thasra,4164,15821,26069,24111,5773
2019-2020,Gujarat,24,Kheda,450,Vaso,7131,3187,4972,1117,474
2019-2020,Gujarat,24,Mahesana,451,Bechraji,4166,275,3878,3643,1677
2019-2020,Gujarat,24,Mahesana,451,Jotana,7118,88,1475,1740,477
2019-2020,Gujarat,24,Mahesana,451,Kadi,4167,588,5135,3551,1187
2019-2020,Gujarat,24,Mahesana,451,Kheralu,4168,23,3151,4036,1751
2019-2020,Gujarat,24,Mahesana,451,Mahesana,4169,1413,4853,4861,1267
2019-2020,Gujarat,24,Mahesana,451,Satlasna,4170,495,5264,4164,2416
2019-2020,Gujarat,24,Mahesana,451,Unjha,4171,310,1229,1245,676
2019-2020,Gujarat,24,Mahesana,451,Vadnagar,4172,2188,5395,4352,1470
2019-2020,Gujarat,24,Mahesana,451,Vijapur,4173,1322,5518,5447,2323
2019-2020,Gujarat,24,Mahesana,451,Visnagar,4174,628,3086,3134,1204
2019-2020,Gujarat,24,Mahisagar,669,Balasinor,4156,16390,20013,18802,7356
2019-2020,Gujarat,24,Mahisagar,669,Kadana,4188,6238,20615,18807,9915
2019-2020,Gujarat,24,Mahisagar,669,Khanpur,4190,6204,12755,10116,7106
2019-2020,Gujarat,24,Mahisagar,669,Lunawada,4191,8531,19090,16586,9007
2019-2020,Gujarat,24,Mahisagar,669,Santrampur,4193,9842,32475,31054,17864
2019-2020,Gujarat,24,Mahisagar,669,Virpur,4165,7026,10355,11098,2920
2019-2020,Gujarat,24,Morbi,673,Halvad,4251,2945,5182,4363,967
2019-2020,Gujarat,24,Morbi,673,Maliya,4212,1535,1854,1185,629
2019-2020,Gujarat,24,Morbi,673,Morbi,4213,4905,5487,3264,839
2019-2020,Gujarat,24,Morbi,673,Tankara,4216,3041,3524,1871,632
2019-2020,Gujarat,24,Morbi,673,Wankaner,4218,7156,8013,5094,1348
2019-2020,Gujarat,24,Narmada,452,Dediyapada,4175,8173,48662,41484,37195
2019-2020,Gujarat,24,Narmada,452,Garudeshwar,7129,3366,15197,11177,8846
2019-2020,Gujarat,24,Narmada,452,Nandod,4176,641,15137,16357,14163
2019-2020,Gujarat,24,Narmada,452,Sagbara,4177,3241,22246,19274,16377
2019-2020,Gujarat,24,Narmada,452,Tilakwada,4178,869,9007,6916,5178
2019-2020,Gujarat,24,Navsari,453,Chikhali,4179,429,14287,18486,10080
2019-2020,Gujarat,24,Navsari,453,Gandevi,4180,144,16575,17791,13365
2019-2020,Gujarat,24,Navsari,453,Jalalpore,4181,393,12006,11740,9296
2019-2020,Gujarat,24,Navsari,453,Khergam,7116,259,6146,6094,3967
2019-2020,Gujarat,24,Navsari,453,Navsari,4182,328,6803,6431,4025
2019-2020,Gujarat,24,Navsari,453,Vansda,4183,525,22289,26015,14510
2019-2020,Gujarat,24,Panch Mahals,454,Ghoghamba,4184,15751,30275,22242,12733
2019-2020,Gujarat,24,Panch Mahals,454,Godhra,4185,5781,25496,28329,14344
2019-2020,Gujarat,24,Panch Mahals,454,Halol,4186,448,6951,6683,3989
2019-2020,Gujarat,24,Panch Mahals,454,Jambughoda,4187,573,5392,6085,5270
2019-2020,Gujarat,24,Panch Mahals,454,Kalol,4189,795,7307,8291,6013
2019-2020,Gujarat,24,Panch Mahals,454,Morvahadaf,4192,6745,24755,23520,13602
2019-2020,Gujarat,24,Panch Mahals,454,Shehera,4194,12372,42727,42707,26550
2019-2020,Gujarat,24,Patan,455,Chanasma,4195,494,5886,6031,1942
2019-2020,Gujarat,24,Patan,455,Harij,4196,2089,9882,9021,3886
2019-2020,Gujarat,24,Patan,455,Patan,4197,211,3735,4098,1615
2019-2020,Gujarat,24,Patan,455,Radhanpur,4198,1380,7532,8193,2771
2019-2020,Gujarat,24,Patan,455,Sami,4199,4602,13543,12315,4166
2019-2020,Gujarat,24,Patan,455,Santalpur,4200,4903,12570,13054,3661
2019-2020,Gujarat,24,Patan,455,Sarasvati,7121,197,3026,4197,2105
2019-2020,Gujarat,24,Patan,455,Shankheswar,7120,3458,9446,9579,4357
2019-2020,Gujarat,24,Patan,455,Sidhpur,4201,208,3283,4417,869
2019-2020,Gujarat,24,Porbandar,456,Kutiyana,4202,4664,9004,7752,2403
2019-2020,Gujarat,24,Porbandar,456,Porbandar,4203,5121,13027,11276,3397
2019-2020,Gujarat,24,Porbandar,456,Ranavav,4204,3188,6958,5905,1460
2019-2020,Gujarat,24,Rajkot,457,Dhoraji,4205,4362,6033,4867,1011
2019-2020,Gujarat,24,Rajkot,457,Gondal,4206,10714,13680,3983,1706
2019-2020,Gujarat,24,Rajkot,457,Jamkandorna,4207,4647,5121,2669,913
2019-2020,Gujarat,24,Rajkot,457,Jasdan,4208,7291,11533,10975,2451
2019-2020,Gujarat,24,Rajkot,457,Jetpur,4209,7033,8701,7101,884
2019-2020,Gujarat,24,Rajkot,457,Kotda Sangani,4210,7271,7916,6428,1600
2019-2020,Gujarat,24,Rajkot,457,Lodhika,4211,1204,1657,1645,254
2019-2020,Gujarat,24,Rajkot,457,Paddhari,4214,4106,4629,3431,507
2019-2020,Gujarat,24,Rajkot,457,Rajkot,4215,6512,8627,7696,898
2019-2020,Gujarat,24,Rajkot,457,Upleta,4217,5290,6361,6039,1268
2019-2020,Gujarat,24,Rajkot,457,Vichhiya,7133,13859,17595,16859,2557
2019-2020,Gujarat,24,Sabar Kantha,458,Himatnagar,4222,4943,17327,14737,9084
2019-2020,Gujarat,24,Sabar Kantha,458,Idar,4223,3732,16835,12350,7232
2019-2020,Gujarat,24,Sabar Kantha,458,Khedbrahma,4224,5405,16128,19202,11268
2019-2020,Gujarat,24,Sabar Kantha,458,Poshina,7134,13631,23958,21599,6794
2019-2020,Gujarat,24,Sabar Kantha,458,Prantij,4228,951,6990,6279,3028
2019-2020,Gujarat,24,Sabar Kantha,458,Talod,4229,3664,8242,7607,4544
2019-2020,Gujarat,24,Sabar Kantha,458,Vadali,4230,1684,7660,7890,5411
2019-2020,Gujarat,24,Sabar Kantha,458,Vijaynagar,4231,11328,18823,10996,7361
2019-2020,Gujarat,24,Surat,459,Bardoli,4232,90,8597,10572,4239
2019-2020,Gujarat,24,Surat,459,Chorasi,4233,13,770,825,90
2019-2020,Gujarat,24,Surat,459,Kamrej,4234,25,6867,7009,423
2019-2020,Gujarat,24,Surat,459,Mahuva,4235,144,6308,9385,4459
2019-2020,Gujarat,24,Surat,459,Mandvi,4236,786,27767,31366,13926
2019-2020,Gujarat,24,Surat,459,Mangrol,4237,268,13984,16705,9374
2019-2020,Gujarat,24,Surat,459,Olpad,4239,25,4047,4240,618
2019-2020,Gujarat,24,Surat,459,Palsana,4240,53,2060,2944,876
2019-2020,Gujarat,24,Surat,459,Umarpada,4244,1303,23208,25035,11905
2019-2020,Gujarat,24,Surendranagar,460,Chotila,4247,12687,24626,10374,6432
2019-2020,Gujarat,24,Surendranagar,460,Chuda,4248,554,3812,2806,1630
2019-2020,Gujarat,24,Surendranagar,460,Dasada,4249,6281,14169,9037,4039
2019-2020,Gujarat,24,Surendranagar,460,Dhrangadhra,4250,445,3815,3123,940
2019-2020,Gujarat,24,Surendranagar,460,Lakhtar,4252,5321,8142,1943,1237
2019-2020,Gujarat,24,Surendranagar,460,Limbdi,4253,438,9784,8955,3596
2019-2020,Gujarat,24,Surendranagar,460,Muli,4254,7704,14126,4154,1694
2019-2020,Gujarat,24,Surendranagar,460,Sayla,4255,15703,22991,7702,3696
2019-2020,Gujarat,24,Surendranagar,460,Thangadh,7136,89,1681,1670,773
2019-2020,Gujarat,24,Surendranagar,460,Wadhwan,4256,160,2290,2587,966
2019-2020,Gujarat,24,Tapi,641,Dolvan,7127,4468,16105,17603,10027
2019-2020,Gujarat,24,Tapi,641,Kukarmunda,7130,2684,14257,14950,6288
2019-2020,Gujarat,24,Tapi,641,Nizar,4238,3678,18478,14915,6998
2019-2020,Gujarat,24,Tapi,641,Songadh,4241,21135,49428,38408,20428
2019-2020,Gujarat,24,Tapi,641,Uchchhal,4243,4007,23455,24136,11073
2019-2020,Gujarat,24,Tapi,641,Valod,4245,3376,8125,7984,3404
2019-2020,Gujarat,24,Tapi,641,Vyara,4246,3077,20881,23955,15657
2019-2020,Gujarat,24,Vadodara,461,Dabhoi,4258,2226,5185,5904,1568
2019-2020,Gujarat,24,Vadodara,461,Desar,7126,3757,5004,5161,2052
2019-2020,Gujarat,24,Vadodara,461,Karjan,4260,1130,2508,3088,964
2019-2020,Gujarat,24,Vadodara,461,Padra,4263,3222,5889,4351,1085
2019-2020,Gujarat,24,Vadodara,461,Savli,4265,3049,6316,6714,2071
2019-2020,Gujarat,24,Vadodara,461,Sinor,4266,1999,2719,3226,860
2019-2020,Gujarat,24,Vadodara,461,Vadodara,4267,4114,6301,6306,1205
2019-2020,Gujarat,24,Vadodara,461,Vaghodia,4268,2018,4451,4160,1065
2019-2020,Gujarat,24,Valsad,462,Dharampur,4269,1212,22572,28656,14883
2019-2020,Gujarat,24,Valsad,462,Kaprada,4270,787,25111,30787,14556
2019-2020,Gujarat,24,Valsad,462,Pardi,4271,86,4990,6674,2613
2019-2020,Gujarat,24,Valsad,462,Umbergaon,4272,281,7506,8303,2589
2019-2020,Gujarat,24,Valsad,462,Valsad,4273,164,10765,14389,8057
2019-2020,Gujarat,24,Valsad,462,Vapi,7123,34,1141,1421,554
2019-2020,Haryana,6,Ambala,58,Ambala-I,447,298,4251,5070,2537
2019-2020,Haryana,6,Ambala,58,Ambala-Ii,448,32,1604,1412,242
2019-2020,Haryana,6,Ambala,58,Barara,449,207,4211,4050,1567
2019-2020,Haryana,6,Ambala,58,Naraingarh,450,66,2657,3057,930
2019-2020,Haryana,6,Ambala,58,Saha,451,393,4582,3638,1351
2019-2020,Haryana,6,Ambala,58,Shahzadpur,452,161,2936,2798,993
2019-2020,Haryana,6,Bhiwani,59,Bawani Khera,454,669,6517,9327,5152
2019-2020,Haryana,6,Bhiwani,59,Behal,455,747,4509,5245,2158
2019-2020,Haryana,6,Bhiwani,59,Bhiwani,456,283,11617,15223,7472
2019-2020,Haryana,6,Bhiwani,59,Kairu,459,1186,5076,5551,2541
2019-2020,Haryana,6,Bhiwani,59,Loharu,460,77,3346,5271,2910
2019-2020,Haryana,6,Bhiwani,59,Siwani,461,925,7723,9536,4669
2019-2020,Haryana,6,Bhiwani,59,Tosham,462,447,8475,10398,5742
2019-2020,Haryana,6,Charki Dadri,701,Badhra,453,114,2898,4513,1686
2019-2020,Haryana,6,Charki Dadri,701,Baund,7106,210,1859,2872,1540
2019-2020,Haryana,6,Charki Dadri,701,Charkhi Dadri,7092,605,4076,5400,1766
2019-2020,Haryana,6,Charki Dadri,701,Jhojhu,7107,297,1831,3831,1537
2019-2020,Haryana,6,Faridabad,60,Ballabgarh,463,3,972,1422,799
2019-2020,Haryana,6,Faridabad,60,Faridabad,464,25,1849,1685,563
2019-2020,Haryana,6,Faridabad,60,Tigaon,7093,51,608,551,125
2019-2020,Haryana,6,Fatehabad,61,Bhattu Kalan,469,401,6105,8741,7188
2019-2020,Haryana,6,Fatehabad,61,Bhuna,470,24,7662,9167,7427
2019-2020,Haryana,6,Fatehabad,61,Fatehabad,471,152,11269,14911,11657
2019-2020,Haryana,6,Fatehabad,61,Jakhal,472,11,5041,6407,5773
2019-2020,Haryana,6,Fatehabad,61,Nagpur,7094,147,7317,9064,7091
2019-2020,Haryana,6,Fatehabad,61,Ratia,473,70,11887,14729,12428
2019-2020,Haryana,6,Fatehabad,61,Tohana,474,10,10532,12719,11144
2019-2020,Haryana,6,Gurugram,62,Farrukhnagar,475,61,1281,1525,535
2019-2020,Haryana,6,Gurugram,62,Gurgaon,477,3,254,298,0
2019-2020,Haryana,6,Gurugram,62,Pataudi,480,117,2587,3048,1077
2019-2020,Haryana,6,Gurugram,62,Sohna,482,91,1714,2316,599
2019-2020,Haryana,6,Hisar,63,Adampur,484,2241,7627,8757,5294
2019-2020,Haryana,6,Hisar,63,Agroha,485,1596,7194,8604,6276
2019-2020,Haryana,6,Hisar,63,Barwala,486,2121,10838,13538,9771
2019-2020,Haryana,6,Hisar,63,Hansi-I,487,700,9974,12400,8187
2019-2020,Haryana,6,Hisar,63,Hansi-Ii,488,1456,5712,6395,3510
2019-2020,Haryana,6,Hisar,63,Hisar-I,489,2741,9676,10170,6927
2019-2020,Haryana,6,Hisar,63,Hisar-Ii,490,2146,9126,11154,8151
2019-2020,Haryana,6,Hisar,63,Narnaund,491,575,11276,14572,8700
2019-2020,Haryana,6,Hisar,63,Uklana,492,4338,12350,10892,6973
2019-2020,Haryana,6,Jhajjar,64,Badli,7095,259,2534,3493,1189
2019-2020,Haryana,6,Jhajjar,64,Bahadurgarh,493,139,4738,7136,2582
2019-2020,Haryana,6,Jhajjar,64,Beri,494,621,4722,5956,2445
2019-2020,Haryana,6,Jhajjar,64,Jhajjar,495,812,4736,6942,2262
2019-2020,Haryana,6,Jhajjar,64,Matanhail,496,287,3670,5428,1489
2019-2020,Haryana,6,Jhajjar,64,Salhawas,497,1335,4761,5608,1400
2019-2020,Haryana,6,Jind,65,Alewa,498,414,3429,3869,2260
2019-2020,Haryana,6,Jind,65,Jind,499,932,6755,8425,5883
2019-2020,Haryana,6,Jind,65,Julana,500,726,5656,6499,4059
2019-2020,Haryana,6,Jind,65,Narwana,501,184,6505,8357,5101
2019-2020,Haryana,6,Jind,65,Pillukhera,502,330,3661,4235,2817
2019-2020,Haryana,6,Jind,65,Safidon,503,1267,6392,7617,4188
2019-2020,Haryana,6,Jind,65,Uchana,504,1030,7809,9122,5869
2019-2020,Haryana,6,Jind,65,Ujhana,7096,70,4383,5199,3086
2019-2020,Haryana,6,Kaithal,66,Dhand,7097,225,3880,5223,2803
2019-2020,Haryana,6,Kaithal,66,Guhla,505,40,5955,7926,5231
2019-2020,Haryana,6,Kaithal,66,Kaithal,506,74,9762,14074,9216
2019-2020,Haryana,6,Kaithal,66,Kalayat,507,495,6195,7505,5273
2019-2020,Haryana,6,Kaithal,66,Pundri,508,405,6241,7518,4691
2019-2020,Haryana,6,Kaithal,66,Rajound,509,182,4374,5583,3838
2019-2020,Haryana,6,Kaithal,66,Siwan,510,65,5279,6246,3950
2019-2020,Haryana,6,Karnal,67,Assandh,511,1073,6351,7931,4445
2019-2020,Haryana,6,Karnal,67,Gharaunda (Part),512,495,7674,8381,3972
2019-2020,Haryana,6,Karnal,67,Indri,513,219,8410,10980,7395
2019-2020,Haryana,6,Karnal,67,Karnal,514,979,8834,9560,4835
2019-2020,Haryana,6,Karnal,67,Kunjpura,7099,440,4345,4934,2678
2019-2020,Haryana,6,Karnal,67,Munak,7098,465,5608,6687,4475
2019-2020,Haryana,6,Karnal,67,Nilokheri,515,728,11117,12734,7497
2019-2020,Haryana,6,Karnal,67,Nissing At Chirao,516,706,8406,9766,6586
2019-2020,Haryana,6,Kurukshetra,68,Babain,517,1029,2910,3652,1888
2019-2020,Haryana,6,Kurukshetra,68,Ismailabad,6733,1108,5283,6361,3189
2019-2020,Haryana,6,Kurukshetra,68,Ladwa,518,1774,3749,5025,2147
2019-2020,Haryana,6,Kurukshetra,68,Pehowa,519,1430,7857,9052,4912
2019-2020,Haryana,6,Kurukshetra,68,Pipli,7100,859,4272,5176,2315
2019-2020,Haryana,6,Kurukshetra,68,Shahbad,520,3261,7071,8747,3087
2019-2020,Haryana,6,Kurukshetra,68,Thanesar,521,1427,7379,8846,4297
2019-2020,Haryana,6,Mahendragarh,69,Ateli Nangal,522,16,2937,3639,1721
2019-2020,Haryana,6,Mahendragarh,69,Kanina,523,540,2905,3461,1035
2019-2020,Haryana,6,Mahendragarh,69,Mahendragarh,524,502,4058,4742,1654
2019-2020,Haryana,6,Mahendragarh,69,Nangal Chaudhry,525,666,4904,5117,2343
2019-2020,Haryana,6,Mahendragarh,69,Narnaul,526,38,2545,3270,1096
2019-2020,Haryana,6,Mahendragarh,69,Nizampur,6776,107,2968,3282,1277
2019-2020,Haryana,6,Mahendragarh,69,Satnali,6777,75,1821,2695,1025
2019-2020,Haryana,6,Mahendragarh,69,Sihma,6731,62,1673,2033,863
2019-2020,Haryana,6,Nuh,604,Ferozepur Jhirka,476,308,7239,8822,3470
2019-2020,Haryana,6,Nuh,604,Indri,7101,798,3093,3502,2258
2019-2020,Haryana,6,Nuh,604,Nagina,478,2332,11995,10935,5929
2019-2020,Haryana,6,Nuh,604,Nuh,479,2373,8009,6910,3999
2019-2020,Haryana,6,Nuh,604,Pingwan,7102,1509,9160,9323,4450
2019-2020,Haryana,6,Nuh,604,Punahana,481,3164,12113,9819,3819
2019-2020,Haryana,6,Nuh,604,Taoru,483,1999,7083,5761,2939
2019-2020,Haryana,6,Palwal,619,Badoli,7103,152,1872,1923,707
2019-2020,Haryana,6,Palwal,619,Hassanpur,465,1291,2789,2126,800
2019-2020,Haryana,6,Palwal,619,Hathin,466,596,3985,4965,1672
2019-2020,Haryana,6,Palwal,619,Hodal,467,809,2645,2451,785
2019-2020,Haryana,6,Palwal,619,Palwal,468,462,3216,2773,811
2019-2020,Haryana,6,Palwal,619,Prithla,6734,350,1294,1285,383
2019-2020,Haryana,6,Panchkula,70,Barwala,527,131,1225,996,419
2019-2020,Haryana,6,Panchkula,70,Morni,528,142,672,562,203
2019-2020,Haryana,6,Panchkula,70,Pinjore,529,24,1874,2489,1008
2019-2020,Haryana,6,Panchkula,70,Raipurrani,530,121,1560,1939,771
2019-2020,Haryana,6,Panipat,71,Bapoli,531,88,3089,3529,1472
2019-2020,Haryana,6,Panipat,71,Israna,532,467,4236,5670,3592
2019-2020,Haryana,6,Panipat,71,Madlauda,533,327,6004,7560,4636
2019-2020,Haryana,6,Panipat,71,Panipat,534,775,4399,5150,2000
2019-2020,Haryana,6,Panipat,71,Samalkha,535,637,3310,4707,2415
2019-2020,Haryana,6,Panipat,71,Sanoli Khurd,7023,22,1756,2255,1027
2019-2020,Haryana,6,Rewari,72,Bawal,536,631,2646,3645,1438
2019-2020,Haryana,6,Rewari,72,Dahina,7104,1011,1878,2340,520
2019-2020,Haryana,6,Rewari,72,Dharuhera,7358,0,0,1,1
2019-2020,Haryana,6,Rewari,72,Jatusana,537,981,2209,2886,739
2019-2020,Haryana,6,Rewari,72,Khol At Rewari,538,791,1457,1890,525
2019-2020,Haryana,6,Rewari,72,Nahar,539,1101,2717,3207,1188
2019-2020,Haryana,6,Rewari,72,Rewari,540,942,2314,3435,1582
2019-2020,Haryana,6,Rohtak,73,Kalanaur,541,52,5210,6910,4069
2019-2020,Haryana,6,Rohtak,73,Lakhan Majra,542,79,2664,3696,2349
2019-2020,Haryana,6,Rohtak,73,Maham,543,676,5673,6999,4174
2019-2020,Haryana,6,Rohtak,73,Rohtak,544,773,6043,9191,5818
2019-2020,Haryana,6,Rohtak,73,Sampla,545,208,3440,3365,1440
2019-2020,Haryana,6,Sirsa,74,Baragudha,546,1358,9738,10123,7067
2019-2020,Haryana,6,Sirsa,74,Dabwali,547,1554,10703,12323,7045
2019-2020,Haryana,6,Sirsa,74,Ellenabad,548,717,9768,11569,6434
2019-2020,Haryana,6,Sirsa,74,Nathusari Chopta,549,1879,13053,13431,8664
2019-2020,Haryana,6,Sirsa,74,Odhan,550,486,7720,8578,5769
2019-2020,Haryana,6,Sirsa,74,Rania,551,2237,12013,13649,8007
2019-2020,Haryana,6,Sirsa,74,Sirsa,552,1444,11599,13324,7459
2019-2020,Haryana,6,Sonipat,75,Ganaur,553,301,2804,2828,1466
2019-2020,Haryana,6,Sonipat,75,Gohana,554,392,2555,3126,1887
2019-2020,Haryana,6,Sonipat,75,Kathura,555,99,2161,2719,1644
2019-2020,Haryana,6,Sonipat,75,Kharkhoda,556,48,2182,2912,1031
2019-2020,Haryana,6,Sonipat,75,Mundlana,557,627,3913,4386,3014
2019-2020,Haryana,6,Sonipat,75,Murthal,6778,591,2727,2316,920
2019-2020,Haryana,6,Sonipat,75,Rai,558,631,1972,1407,525
2019-2020,Haryana,6,Sonipat,75,Sonipat,559,489,1624,1745,930
2019-2020,Haryana,6,Yamunanagar,76,Bilaspur,560,394,4690,5155,1714
2019-2020,Haryana,6,Yamunanagar,76,Chhachhrauli,561,304,2737,3424,1156
2019-2020,Haryana,6,Yamunanagar,76,Jagadhri,562,402,3299,3684,1536
2019-2020,Haryana,6,Yamunanagar,76,Pratap Nagar,7105,463,2508,3098,1046
2019-2020,Haryana,6,Yamunanagar,76,Radaur,564,194,3053,3336,1179
2019-2020,Haryana,6,Yamunanagar,76,Sadaura (Part),565,89,1422,1715,470
2019-2020,Haryana,6,Yamunanagar,76,Saraswati Nagar,563,743,4069,4162,1236
2019-2020,Himachal Pradesh,2,Bilaspur,15,Bilaspur Sadar,135,155,13365,16186,9392
2019-2020,Himachal Pradesh,2,Bilaspur,15,Ghumarwin,137,1925,19179,22325,13651
