year,state_name,state_code,district_name,district_code,block_name,block_code,num_joint_acc_of_women,num_total_acc_of_women,num_women_beneficiary_worker_with_acc,num_women_beneficiary_active_worker_with_acc
2019-2020,Andhra Pradesh,28,Ananthapuramu,502,Singanamala,4738,0,10868,9532,8540
2019-2020,Andhra Pradesh,28,Sri Sathya Sai,754,Somandepalle,4739,1,6076,6142,4924
2019-2020,Andhra Pradesh,28,Sri Sathya Sai,754,Tadimarri,4740,2,8818,7991,6563
2019-2020,Andhra Pradesh,28,Ananthapuramu,502,Tadpatri,4741,0,9305,8036,6899
2019-2020,Andhra Pradesh,28,Sri Sathya Sai,754,Talupula,4742,2,9288,9404,8055
2019-2020,Andhra Pradesh,28,Sri Sathya Sai,754,Tanakal,4743,0,6582,4998,4227
2019-2020,Andhra Pradesh,28,Ananthapuramu,502,Uravakonda,4744,1,10089,10308,6893
2019-2020,Andhra Pradesh,28,Ananthapuramu,502,Vajrakarur,4745,12,12596,10842,9678
2019-2020,Andhra Pradesh,28,Ananthapuramu,502,Vidapanakal,4746,2,8526,9743,8055
2019-2020,Andhra Pradesh,28,Ananthapuramu,502,Yadiki,4747,0,9119,8611,6958
2019-2020,Andhra Pradesh,28,Ananthapuramu,502,Yellanur,4748,0,9460,9642,8575
2019-2020,Andhra Pradesh,28,Annamayya,753,B Kothakota,4749,3,6786,4409,3761
2019-2020,Andhra Pradesh,28,Chittoor,503,Baireddi Palle,4750,3,8567,10040,7959
2019-2020,Andhra Pradesh,28,Chittoor,503,Bangarupalem,4751,0,9254,11681,7806
2019-2020,Andhra Pradesh,28,Tirupati,752,Buchinaidu Khandriga,4752,0,6844,6618,5676
2019-2020,Andhra Pradesh,28,Tirupati,752,Chandragiri,4753,4,6857,5929,4298
2019-2020,Andhra Pradesh,28,Tirupati,752,Chinnagottigallu,4754,0,5074,5393,4378
2019-2020,Andhra Pradesh,28,Chittoor,503,Chittoor,4755,3,4870,4948,3671
2019-2020,Andhra Pradesh,28,Chittoor,503,Chowdepalle,4756,1,5702,7222,5215
2019-2020,Andhra Pradesh,28,Chittoor,503,Gangadhara Nellore,4757,0,10457,10951,8287
2019-2020,Andhra Pradesh,28,Chittoor,503,Gangavaram,4758,2,8364,8145,6166
2019-2020,Andhra Pradesh,28,Chittoor,503,Gudi Palle,4760,3,7555,8267,6861
2019-2020,Andhra Pradesh,28,Chittoor,503,Gudipala,4759,0,5830,5370,3918
2019-2020,Andhra Pradesh,28,Annamayya,753,Gurramkonda,4761,0,6270,5739,4641
2019-2020,Andhra Pradesh,28,Chittoor,503,Irala,4762,0,7391,8573,7009
2019-2020,Andhra Pradesh,28,Tirupati,752,K V B Puram,4763,0,8512,9275,8075
2019-2020,Andhra Pradesh,28,Annamayya,753,Kalakada,4764,0,6596,7057,5475
2019-2020,Andhra Pradesh,28,Annamayya,753,Kalikiri,4765,1,6409,7687,5554
