state_name,district_name,block_name,state_code,district_code,block_code,total_shg_loan_amount
Andhra Pradesh,Annamayya,Kodur,28,753,4832,71792795
Andhra Pradesh,Annamayya,Kurabalakota,28,753,4769,55000000
Andhra Pradesh,Annamayya,Lakkireddipalle,28,753,4834,3120000
Andhra Pradesh,Annamayya,Madanapalle,28,753,4770,252295000
Andhra Pradesh,Annamayya,Mulakalacheruvu,28,753,4771,65617500
Andhra Pradesh,Annamayya,Nandalur,28,753,4839,28090000
Andhra Pradesh,Annamayya,Nimmanapalle,28,753,4775,71666000
Andhra Pradesh,Annamayya,Obulavaripalle,28,753,4840,75283721
Andhra Pradesh,Annamayya,Peddamandyam,28,753,4780,17729000
Andhra Pradesh,Annamayya,Peddathippasamudram,28,753,4782,29075000
Andhra Pradesh,Annamayya,Penagalur,28,753,4842,21013491
Andhra Pradesh,Annamayya,Piler,28,753,4784,42957400
Andhra Pradesh,Annamayya,Pullampeta,28,753,4847,57017120
Andhra Pradesh,Annamayya,Rajampet,28,753,4848,37009599
Andhra Pradesh,Annamayya,Ramapuram,28,753,4850,9319504
Andhra Pradesh,Annamayya,Ramasamudram,28,753,4792,19725000
Andhra Pradesh,Annamayya,Rayachoty,28,753,4851,32168000
Andhra Pradesh,Annamayya,Sambepalle,28,753,4852,47678426
Andhra Pradesh,Annamayya,T.Sundupalle,28,753,4856,61030663
Andhra Pradesh,Annamayya,Thamballapalle,28,753,4801,60287609
Andhra Pradesh,Annamayya,Valmikipuram,28,753,4807,116049645
Andhra Pradesh,Annamayya,Veeraballi,28,753,4859,7489364
Andhra Pradesh,Bapatla,Addanki,28,750,5454,23336362
Andhra Pradesh,Bapatla,Amruthalur,28,750,4924,33265000
Andhra Pradesh,Bapatla,Ballikurava,28,750,5456,12542113
Andhra Pradesh,Bapatla,Bapatla,28,750,4926,47560000
Andhra Pradesh,Bapatla,Bhattiprolu,28,750,4928,11855000
Andhra Pradesh,Bapatla,Cherukupalle,28,750,4931,21450000
Andhra Pradesh,Bapatla,Chinaganjam,28,750,5460,36695949
Andhra Pradesh,Bapatla,Chirala,28,750,5461,194076000
Andhra Pradesh,Bapatla,Inkollu,28,750,5469,37875000
Andhra Pradesh,Bapatla,Janakavaram Ponguluru,28,750,5470,48667761
Andhra Pradesh,Bapatla,Karamchedu,28,750,5473,57638000
Andhra Pradesh,Bapatla,Karlapalem,28,750,4942,40325000
Andhra Pradesh,Bapatla,Kollur,28,750,4944,22893000
Andhra Pradesh,Bapatla,Korisapadu,28,750,5477,59766536
Andhra Pradesh,Bapatla,Martur,28,750,5484,50090000
Andhra Pradesh,Bapatla,Nagaram,28,750,4952,77563795
Andhra Pradesh,Bapatla,Nizampatnam,28,750,4955,50280000
Andhra Pradesh,Bapatla,Parchur,28,750,5489,42815000
Andhra Pradesh,Bapatla,Pittalavanipalem,28,750,4962,12265000
Andhra Pradesh,Bapatla,Repalle,28,750,4967,71973400
Andhra Pradesh,Bapatla,Santhamaguluru,28,750,5496,91638000
Andhra Pradesh,Bapatla,Tsundur,28,750,4975,23135000
Andhra Pradesh,Bapatla,Vemuru,28,750,4978,43225000
Andhra Pradesh,Bapatla,Vetapalem,28,750,5505,73012508
Andhra Pradesh,Bapatla,Yddana Pudi,28,750,5507,14605000
Andhra Pradesh,Chittoor,Baireddipalle,28,503,4750,119490000
Andhra Pradesh,Chittoor,Bangarupalem,28,503,4751,105383015
Andhra Pradesh,Chittoor,Chittoor,28,503,4755,18741658
Andhra Pradesh,Chittoor,Chowdepalle,28,503,4756,27105000
Andhra Pradesh,Chittoor,Gangadhara Nellore,28,503,4757,93140000
Andhra Pradesh,Chittoor,Gangavaram,28,503,4758,155395000
Andhra Pradesh,Chittoor,Gudipala,28,503,4759,27880000
Andhra Pradesh,Chittoor,Gudupalle,28,503,4760,92785737
Andhra Pradesh,Chittoor,Irala,28,503,4762,45550000
Andhra Pradesh,Chittoor,Karvetinagar,28,503,4767,126552000
Andhra Pradesh,Chittoor,Kuppam,28,503,4768,189514600
Andhra Pradesh,Chittoor,Nagari,28,503,4773,72027407
Andhra Pradesh,Chittoor,Nindra,28,503,4776,48465000
Andhra Pradesh,Chittoor,Palamaner,28,503,4778,22023915
Andhra Pradesh,Chittoor,Palasamudram,28,503,4779,39060000
Andhra Pradesh,Chittoor,Peddapanjani,28,503,4781,117720000
Andhra Pradesh,Chittoor,Penumuru,28,503,4783,8615000
Andhra Pradesh,Chittoor,Pulicherla H/O Reddivaripalle,28,503,4786,148608000
Andhra Pradesh,Chittoor,Punganur,28,503,4787,63035000
Andhra Pradesh,Chittoor,Puthalapattu,28,503,4788,47540000
Andhra Pradesh,Chittoor,Ramakuppam,28,503,4791,29129512
Andhra Pradesh,Chittoor,Rompicherla,28,503,4794,14595000
Andhra Pradesh,Chittoor,Santhipuram Ho Arimuthanapalle,28,503,4795,68232242
Andhra Pradesh,Chittoor,Sodam,28,503,4797,67602500
Andhra Pradesh,Chittoor,Somala,28,503,4798,19750000
Andhra Pradesh,Chittoor,Srirangarajapuram,28,503,4800,98263000
Andhra Pradesh,Chittoor,Thavanampalle,28,503,4802,173441000
Andhra Pradesh,Chittoor,Vedurukuppam,28,503,4809,98431943
Andhra Pradesh,Chittoor,Venkatagirikota,28,503,4810,48441332
Andhra Pradesh,Chittoor,Vijayapuram,28,503,4811,47900026
Andhra Pradesh,Chittoor,Yadamari,28,503,4812,40250000
Andhra Pradesh,East Godavari,Anaparthy,28,505,4871,47547000
Andhra Pradesh,East Godavari,Biccavolu,28,505,4873,18545000
Andhra Pradesh,East Godavari,Chagallu,28,505,5713,34205000
Andhra Pradesh,East Godavari,Devarapalle,28,505,5716,56092000
Andhra Pradesh,East Godavari,Gokavaram,28,505,4877,163727800
Andhra Pradesh,East Godavari,Gopalapuram,28,505,5721,32235785
Andhra Pradesh,East Godavari,Kadiam,28,505,4881,19906000
Andhra Pradesh,East Godavari,Korukonda,28,505,4888,18898000
Andhra Pradesh,East Godavari,Kovvur,28,505,5727,46010000
Andhra Pradesh,East Godavari,Nallajerla,28,505,5731,96395000
Andhra Pradesh,East Godavari,Nidadavole,28,505,5733,25385000
Andhra Pradesh,East Godavari,Peravali,28,505,5742,42695000
Andhra Pradesh,East Godavari,Rajahmundry Rural,28,505,4903,117755000
Andhra Pradesh,East Godavari,Rajanagaram,28,505,4904,48145500
Andhra Pradesh,East Godavari,Rangampeta,28,505,4908,17021800
Andhra Pradesh,East Godavari,Seethanagaram,28,505,4915,71517500
Andhra Pradesh,East Godavari,Thallapudi,28,505,5748,65481000
Andhra Pradesh,East Godavari,Undrajavaram,28,505,5750,33537500
Andhra Pradesh,Eluru,Agiripalli,28,748,5100,77258000
Andhra Pradesh,Eluru,Bhimadole,28,748,5710,55087527
Andhra Pradesh,Eluru,Buttayagudem,28,748,5712,7997527
Andhra Pradesh,Eluru,Chatrai,28,748,5106,57700200
Andhra Pradesh,Eluru,Chintalapudi,28,748,5714,103089880
