year,state_code,state_name,district_code,district_name,block_code,block_name,num_jobcards_applied,num_jobcards_issued,total_reg_workers,women_reg_workers,num_of_active_job_cards
2019-2020,6,Haryana,69,Mahendragarh,6777,Satnali,4123,4123,9213,3607,1260
2019-2020,6,Haryana,69,Mahendragarh,6776,Nizampur,4636,4636,10889,4170,2212
2019-2020,6,Haryana,69,Mahendragarh,6731,Sihma,4098,4098,6857,2495,995
2019-2020,6,Haryana,604,Nuh,483,Taoru,7765,7765,17274,7327,2988
2019-2020,6,Haryana,604,Nuh,479,Nuh,12046,12046,25013,10764,3463
2019-2020,6,Haryana,604,Nuh,478,Nagina,18988,18973,39617,15884,8591
2019-2020,6,Haryana,604,Nuh,481,Punahana,15381,15381,35374,15174,5654
2019-2020,6,Haryana,604,Nuh,476,Ferozepur Jhirka,13248,13248,34479,14219,6848
2019-2020,6,Haryana,604,Nuh,7101,Indri,5133,5133,13562,5682,1074
2019-2020,6,Haryana,604,Nuh,7102,Pingwan,13975,13975,31990,13759,5553
2019-2020,6,Haryana,619,Palwal,468,Palwal,4201,4201,7985,2984,2370
2019-2020,6,Haryana,619,Palwal,467,Hodal,3006,3005,7265,2847,1457
2019-2020,6,Haryana,619,Palwal,465,Hassanpur,3011,3011,7022,2720,1355
2019-2020,6,Haryana,619,Palwal,466,Hathin,9588,9554,20011,7936,2853
2019-2020,6,Haryana,619,Palwal,6734,Prithla,2212,2212,3889,1474,785
2019-2020,6,Haryana,619,Palwal,7103,Badoli,2332,2332,5917,2216,1427
2019-2020,6,Haryana,70,Panchkula,530,Raipurrani,3475,3475,6898,2151,1603
2019-2020,6,Haryana,70,Panchkula,529,Pinjore,3903,3903,7118,2936,1565
2019-2020,6,Haryana,70,Panchkula,528,Morni,3320,3320,5776,1001,2237
2019-2020,6,Haryana,70,Panchkula,527,Barwala,2267,2267,4006,1144,987
2019-2020,6,Haryana,71,Panipat,533,Madlauda,6795,6795,17817,8630,3848
2019-2020,6,Haryana,71,Panipat,534,Panipat,5771,5771,12069,6593,2090
2019-2020,6,Haryana,71,Panipat,535,Samalkha,4276,4276,12881,6031,1458
2019-2020,6,Haryana,71,Panipat,532,Israna,5235,5235,14200,6754,2960
2019-2020,6,Haryana,71,Panipat,531,Bapoli,3402,3402,7297,3975,1854
2019-2020,6,Haryana,71,Panipat,7023,Sanoli Khurd,2621,2621,5744,2927,1217
2019-2020,6,Haryana,72,Rewari,536,Bawal,7254,7254,14611,6548,839
2019-2020,6,Haryana,72,Rewari,540,Rewari,6913,6913,16542,7940,205
2019-2020,6,Haryana,72,Rewari,537,Jatusana,4544,4544,11605,5162,549
2019-2020,6,Haryana,72,Rewari,539,Nahar,5751,5751,12079,4979,1453
2019-2020,6,Haryana,72,Rewari,538,Khol At Rewari,4086,4086,9547,4030,458
2019-2020,6,Haryana,72,Rewari,7104,Dahina,5527,5527,12852,5295,580
2019-2020,6,Haryana,72,Rewari,7358,Dharuhera,0,0,114,40,0
2019-2020,6,Haryana,73,Rohtak,542,Lakhan Majra,2801,2801,9194,4261,1659
2019-2020,6,Haryana,73,Rohtak,543,Maham,5654,5654,16529,8379,3525
2019-2020,6,Haryana,73,Rohtak,541,Kalanaur,5012,5012,15413,7444,3194
2019-2020,6,Haryana,73,Rohtak,544,Rohtak,7332,7332,21502,9930,3856
2019-2020,6,Haryana,73,Rohtak,545,Sampla,4582,4582,8690,3669,2273
2019-2020,6,Haryana,74,Sirsa,547,Dabwali,18046,18046,42898,18755,8032
2019-2020,6,Haryana,74,Sirsa,550,Odhan,10839,10839,24651,11334,5980
2019-2020,6,Haryana,74,Sirsa,546,Baragudha,14848,14848,31198,14024,7189
2019-2020,6,Haryana,74,Sirsa,552,Sirsa,17048,17048,44642,21676,7906
2019-2020,6,Haryana,74,Sirsa,549,Nathusari Chopta,18783,18783,46100,21353,8560
2019-2020,6,Haryana,74,Sirsa,551,Rania,15826,15826,41241,18983,8335
2019-2020,6,Haryana,74,Sirsa,548,Ellenabad,14099,14099,36636,16607,6703
2019-2020,6,Haryana,75,Sonipat,557,Mundlana,4823,4823,12112,5283,1937
2019-2020,6,Haryana,75,Sonipat,554,Gohana,4676,4676,10424,4684,1047
2019-2020,6,Haryana,75,Sonipat,559,Sonipat,2560,2546,6931,3273,765
2019-2020,6,Haryana,75,Sonipat,555,Kathura,3073,3073,7645,3413,1215
2019-2020,6,Haryana,75,Sonipat,553,Ganaur,3911,3911,9441,4649,1300
2019-2020,6,Haryana,75,Sonipat,556,Kharkhoda,3572,3572,8030,3875,1322
2019-2020,6,Haryana,75,Sonipat,558,Rai,2030,2029,4459,2307,395
2019-2020,6,Haryana,75,Sonipat,6778,Murthal,3015,3015,6781,3514,1252
2019-2020,6,Haryana,76,Yamunanagar,563,Saraswati Nagar,5229,5229,11910,5207,1940
2019-2020,6,Haryana,76,Yamunanagar,562,Jagadhri,4671,4671,11019,4829,1751
2019-2020,6,Haryana,76,Yamunanagar,561,Chhachhrauli,5598,5598,10131,4056,2174
2019-2020,6,Haryana,76,Yamunanagar,564,Radaur,4641,4641,9227,4154,1759
2019-2020,6,Haryana,76,Yamunanagar,560,Bilaspur,7674,7674,16910,6960,2756
2019-2020,6,Haryana,76,Yamunanagar,565,Sadaura (Part),3391,3391,7111,2288,1889
2019-2020,6,Haryana,76,Yamunanagar,7105,Pratap Nagar,4681,4680,9894,3779,1924
2019-2020,2,Himachal Pradesh,15,Bilaspur,135,Bilaspur Sadar,19967,18898,47889,23201,10336
2019-2020,2,Himachal Pradesh,15,Bilaspur,137,Ghumarwin,29589,29060,56577,30336,14351
2019-2020,2,Himachal Pradesh,15,Bilaspur,136,Jhandutta,21520,20913,45944,22082,13106
2019-2020,2,Himachal Pradesh,15,Bilaspur,7089,Shri Naina Devi Ji At Swarghat,10696,10353,24210,11277,7373
2019-2020,2,Himachal Pradesh,16,Chamba,139,Bharmour,9047,9040,23498,11179,6970
2019-2020,2,Himachal Pradesh,16,Chamba,138,Bhattiyat,22368,22151,47976,19905,15594
2019-2020,2,Himachal Pradesh,16,Chamba,140,Chamba,18207,18198,39198,19806,13795
2019-2020,2,Himachal Pradesh,16,Chamba,141,Mehla,23631,23599,50553,26152,19960
2019-2020,2,Himachal Pradesh,16,Chamba,142,Pangi,5558,5548,11845,6453,5230
2019-2020,2,Himachal Pradesh,16,Chamba,143,Salooni,22615,22414,46927,24505,19074
2019-2020,2,Himachal Pradesh,16,Chamba,144,Tissa,21878,21867,49411,25474,19291
2019-2020,2,Himachal Pradesh,17,Hamirpur,145,Bamson,20117,19727,38051,22611,11101
2019-2020,2,Himachal Pradesh,17,Hamirpur,146,Bhoranj,18048,18032,39048,22005,8016
2019-2020,2,Himachal Pradesh,17,Hamirpur,147,Bijhri,21007,20575,39883,22521,8765
2019-2020,2,Himachal Pradesh,17,Hamirpur,148,Hamirpur,9805,9357,17524,10081,4655
2019-2020,2,Himachal Pradesh,17,Hamirpur,149,Nadaun,16287,15950,34867,19905,7919
2019-2020,2,Himachal Pradesh,17,Hamirpur,150,Tihra Sujanpur,9974,9605,17957,10136,3916
2019-2020,2,Himachal Pradesh,18,Kangra,151,Baijnath,17042,16852,37336,20360,10495
2019-2020,2,Himachal Pradesh,18,Kangra,152,Bhawarna,16178,16169,38455,19672,7802
2019-2020,2,Himachal Pradesh,18,Kangra,153,Dehra Gopipur,21301,21121,48045,24154,9352
2019-2020,2,Himachal Pradesh,18,Kangra,6504,Dharamshala,9888,9885,20144,10460,5453
2019-2020,2,Himachal Pradesh,18,Kangra,154,Fatehpur,22871,22764,47810,22421,12311
2019-2020,2,Himachal Pradesh,18,Kangra,155,Indora,19101,19005,39502,18188,8937
2019-2020,2,Himachal Pradesh,18,Kangra,156,Kangra,19490,19448,40657,21169,11737
2019-2020,2,Himachal Pradesh,18,Kangra,157,Lambagraon,11534,11491,25181,13435,5647
2019-2020,2,Himachal Pradesh,18,Kangra,158,Nagrota Bagwan,16936,16864,39384,20271,10810
2019-2020,2,Himachal Pradesh,18,Kangra,159,Nagrota Surian,15299,15029,35339,15676,8170
2019-2020,2,Himachal Pradesh,18,Kangra,160,Nurpur,18624,18543,42568,18167,10602
2019-2020,2,Himachal Pradesh,18,Kangra,161,Panchrukhi,12690,12602,26738,14243,6623
2019-2020,2,Himachal Pradesh,18,Kangra,162,Pragpur,23517,23496,50124,24409,11238
2019-2020,2,Himachal Pradesh,18,Kangra,163,Rait,20936,20910,47830,23322,12381
2019-2020,2,Himachal Pradesh,18,Kangra,164,Sulah,17663,17583,40700,20548,8652
2019-2020,2,Himachal Pradesh,19,Kinnaur,165,Kalpa,6424,6349,14452,7477,4653
2019-2020,2,Himachal Pradesh,19,Kinnaur,166,Nichar,7073,7029,15290,7808,5697
2019-2020,2,Himachal Pradesh,19,Kinnaur,167,Pooh,5655,5622,11012,5645,4017
2019-2020,2,Himachal Pradesh,20,Kullu,168,Anni,15008,14955,32936,16400,12981
2019-2020,2,Himachal Pradesh,20,Kullu,169,Banjar,15929,15676,37963,18637,13499
2019-2020,2,Himachal Pradesh,20,Kullu,170,Kullu,27829,27568,57973,27204,17844
2019-2020,2,Himachal Pradesh,20,Kullu,171,Nagar,19030,19030,41213,20820,8271
2019-2020,2,Himachal Pradesh,20,Kullu,172,Nirmand,15612,15379,29652,14828,11644
2019-2020,2,Himachal Pradesh,21,Lahul And Spiti,173,Lahaul,3934,3913,8275,4619,2973
2019-2020,2,Himachal Pradesh,21,Lahul And Spiti,174,Spiti,2848,2800,6093,3333,1846
2019-2020,2,Himachal Pradesh,22,Mandi,175,Balh,24906,24614,58090,31323,14761
2019-2020,2,Himachal Pradesh,22,Mandi,177,Chauntra,19590,19386,33392,21295,10832
2019-2020,2,Himachal Pradesh,22,Mandi,178,Dharampur,22022,21730,41875,26258,17522
2019-2020,2,Himachal Pradesh,22,Mandi,179,Drang,21473,21073,43282,24035,16136
2019-2020,2,Himachal Pradesh,22,Mandi,176,Gohar,20251,20024,46428,23555,15624
2019-2020,2,Himachal Pradesh,22,Mandi,180,Gopalpur,25161,24847,45349,26788,16804
2019-2020,2,Himachal Pradesh,22,Mandi,181,Karsog,28150,27652,66821,33027,22426
2019-2020,2,Himachal Pradesh,22,Mandi,182,Mandi Sadar,27783,27447,58677,30897,19731
2019-2020,2,Himachal Pradesh,22,Mandi,183,Seraj,15402,15361,36690,18270,13589
2019-2020,2,Himachal Pradesh,22,Mandi,184,Sundernagar,28556,28138,60146,32865,19575
2019-2020,2,Himachal Pradesh,22,Mandi,7349,Bali Chowki,19984,19814,46271,23089,16560
2019-2020,2,Himachal Pradesh,23,Shimla,185,Basantpur,9006,8843,24558,12901,6581
2019-2020,2,Himachal Pradesh,23,Shimla,186,Chauhara,9972,9915,29533,14072,7220
2019-2020,2,Himachal Pradesh,23,Shimla,187,Chopal,15169,14993,38074,17634,10106
2019-2020,2,Himachal Pradesh,23,Shimla,188,Jubbal Kotkhai,9902,9588,34931,16295,4402
2019-2020,2,Himachal Pradesh,23,Shimla,189,Mashobra,17828,17428,42877,20675,6608
2019-2020,2,Himachal Pradesh,23,Shimla,6538,Nankhari,6765,6671,17358,7965,4827
2019-2020,2,Himachal Pradesh,23,Shimla,190,Narkanda,8261,8082,21633,10257,4100
2019-2020,2,Himachal Pradesh,23,Shimla,191,Rampur,13923,13724,30064,15795,11847
2019-2020,2,Himachal Pradesh,23,Shimla,192,Rohru,12581,12266,31642,14875,8013
2019-2020,2,Himachal Pradesh,23,Shimla,193,Theog,19248,18764,49214,22948,12491
2019-2020,2,Himachal Pradesh,23,Shimla,7348,Kupvi,4723,4641,10755,4816,3354
2019-2020,2,Himachal Pradesh,23,Shimla,7481,Totu,0,0,3333,1602,0
2019-2020,2,Himachal Pradesh,24,Sirmaur,194,Nahan,14974,14672,31324,14012,9373
2019-2020,2,Himachal Pradesh,24,Sirmaur,195,Pachhad,12222,12072,24544,10465,8288
2019-2020,2,Himachal Pradesh,24,Sirmaur,196,Paonta Sahib,24685,23419,59221,25535,9458
2019-2020,2,Himachal Pradesh,24,Sirmaur,197,Rajgarh,9791,9451,22943,10366,7002
2019-2020,2,Himachal Pradesh,24,Sirmaur,198,Sangrah,14021,13810,33151,13508,9376
2019-2020,2,Himachal Pradesh,24,Sirmaur,199,Shilai,11817,11650,24953,9920,8798
2019-2020,2,Himachal Pradesh,25,Solan,200,Dharampur,15354,15077,31360,14839,8216
2019-2020,2,Himachal Pradesh,25,Solan,201,Kandaghat,9411,9253,21201,10489,3918
2019-2020,2,Himachal Pradesh,25,Solan,202,Kunihar,16125,15805,34065,16351,7521
2019-2020,2,Himachal Pradesh,25,Solan,203,Nalagarh,24783,24343,50469,22769,10309
2019-2020,2,Himachal Pradesh,25,Solan,204,Solan,13825,13592,30508,14290,6196
2019-2020,2,Himachal Pradesh,26,Una,205,Amb,14072,13874,26488,13771,6914
2019-2020,2,Himachal Pradesh,26,Una,206,Bangana,15129,14929,30970,16080,10146
2019-2020,2,Himachal Pradesh,26,Una,207,Gagret,13261,13237,22190,11005,4832
2019-2020,2,Himachal Pradesh,26,Una,208,Haroli,13154,13145,21390,12261,6705
2019-2020,2,Himachal Pradesh,26,Una,209,Una,12693,12517,20216,11030,5190
2019-2020,1,Jammu And Kashmir,1,Anantnag,1,Achabal,7372,7215,15756,5652,5812
2019-2020,1,Jammu And Kashmir,1,Anantnag,11,Shahabad,5889,5649,14467,5609,4602
2019-2020,1,Jammu And Kashmir,1,Anantnag,6,Khoveripora,11451,11246,22674,9489,8899
2019-2020,1,Jammu And Kashmir,1,Anantnag,2,Breng,8452,8147,23122,10385,6584
2019-2020,1,Jammu And Kashmir,1,Anantnag,12,Shangus,4657,4555,13594,5711,3834
2019-2020,1,Jammu And Kashmir,1,Anantnag,3,Dachnipora,8183,7925,20630,7650,6602
2019-2020,1,Jammu And Kashmir,1,Anantnag,6712,Qazigund Partly,3653,3544,6696,2672,3266
2019-2020,1,Jammu And Kashmir,1,Anantnag,6861,Anantnag,8644,8437,12904,3860,6568
2019-2020,1,Jammu And Kashmir,1,Anantnag,7020,Bijibehara,9421,9277,17213,6412,7920
2019-2020,1,Jammu And Kashmir,1,Anantnag,7021,Chattergul,4472,4324,12831,5922,3509
2019-2020,1,Jammu And Kashmir,1,Anantnag,7022,Hiller Shahabad,3507,3352,9835,4256,2810
2019-2020,1,Jammu And Kashmir,1,Anantnag,7032,Vessu,4130,4058,9207,3511,3943
2019-2020,1,Jammu And Kashmir,1,Anantnag,7033,Verinag,5007,4776,13944,6114,3762
2019-2020,1,Jammu And Kashmir,1,Anantnag,7034,Phalgam,6894,6740,18145,8127,5800
2019-2020,1,Jammu And Kashmir,1,Anantnag,7035,Larnoo,6636,6481,17457,7980,5530
2019-2020,1,Jammu And Kashmir,1,Anantnag,7036,Sagam,4556,4444,11023,4757,3764
2019-2020,1,Jammu And Kashmir,2,Budgam,14,Badgam,7924,7390,12286,2030,5551
2019-2020,1,Jammu And Kashmir,2,Budgam,20,Narbal,3082,2855,5173,1017,1907
2019-2020,1,Jammu And Kashmir,2,Budgam,15,Beerwah,5159,4961,8499,1218,3644
2019-2020,1,Jammu And Kashmir,2,Budgam,17,Khag,5651,5564,9541,2055,4582
2019-2020,1,Jammu And Kashmir,2,Budgam,18,Khan-Sahib,5836,5509,11056,3071,3596
2019-2020,1,Jammu And Kashmir,2,Budgam,16,Chadoora,4402,4237,5944,586,3126
2019-2020,1,Jammu And Kashmir,2,Budgam,13,B.K.Pora,5713,5125,9385,1139,3293
2019-2020,1,Jammu And Kashmir,2,Budgam,19,Nagam,3580,3416,6161,922,2351
2019-2020,1,Jammu And Kashmir,2,Budgam,6915,Parnewa,3189,3016,6609,1508,2487
2019-2020,1,Jammu And Kashmir,2,Budgam,6916,Sukhnag (Hard Panzoo),3980,3911,6850,1577,2829
2019-2020,1,Jammu And Kashmir,2,Budgam,6917,Waterhail,2425,2358,3929,734,1996
2019-2020,1,Jammu And Kashmir,2,Budgam,6918,Pakherpora,2439,2324,4150,649,1637
2019-2020,1,Jammu And Kashmir,2,Budgam,6919,Charisharief,1399,1368,2332,261,954
2019-2020,1,Jammu And Kashmir,2,Budgam,6920,Surasyar,2858,2710,5542,1345,1730
2019-2020,1,Jammu And Kashmir,2,Budgam,6921,Soibugh,5830,5525,8793,1339,4174
2019-2020,1,Jammu And Kashmir,2,Budgam,6922,Rathsun,2610,2496,5035,1063,2000
2019-2020,1,Jammu And Kashmir,2,Budgam,6923,S.K. Pora,3079,2939,5555,1519,2398
2019-2020,1,Jammu And Kashmir,623,Bandipora,21,Bandipore,5563,5157,10508,3243,2727
2019-2020,1,Jammu And Kashmir,623,Bandipora,24,Gurez,1464,1286,1741,738,947
2019-2020,1,Jammu And Kashmir,623,Bandipora,25,Hajin,6762,6419,11775,3608,3874
2019-2020,1,Jammu And Kashmir,623,Bandipora,32,Sumbal,2761,2720,4219,1197,1330
2019-2020,1,Jammu And Kashmir,623,Bandipora,6545,Tulial,2222,2168,3349,1053,1639
2019-2020,1,Jammu And Kashmir,623,Bandipora,6911,Naidkhai,3201,3042,5463,1484,1394
2019-2020,1,Jammu And Kashmir,623,Bandipora,6913,Nowgam,2190,2094,3919,1352,1264
2019-2020,1,Jammu And Kashmir,623,Bandipora,6912,Ganastan,1954,1807,3037,803,770
2019-2020,1,Jammu And Kashmir,623,Bandipora,6914,Baktoor,513,480,430,104,365
2019-2020,1,Jammu And Kashmir,623,Bandipora,6910,Arin,2974,2829,4764,1678,1616
2019-2020,1,Jammu And Kashmir,623,Bandipora,6909,Banokoot,2843,2565,5897,2165,1057
2019-2020,1,Jammu And Kashmir,623,Bandipora,6908,Aloosa,4652,4368,11704,4142,2228
2019-2020,1,Jammu And Kashmir,3,Baramulla,34,Uri,3820,3571,6650,1967,2310
2019-2020,1,Jammu And Kashmir,3,Baramulla,23,Boniyar,3135,3016,4710,1326,2107
2019-2020,1,Jammu And Kashmir,3,Baramulla,22,Baramulla,4476,4131,5848,910,2255
2019-2020,1,Jammu And Kashmir,3,Baramulla,29,Rohama,4733,4454,9096,2186,2419
2019-2020,1,Jammu And Kashmir,3,Baramulla,28,Rafiabad,3446,3290,9237,3248,1685
2019-2020,1,Jammu And Kashmir,3,Baramulla,31,Sopore,2343,2249,4545,911,1406
2019-2020,1,Jammu And Kashmir,3,Baramulla,36,Zaingeer,4398,4300,8902,2001,2775
2019-2020,1,Jammu And Kashmir,3,Baramulla,35,Wagoora,7088,6618,11937,2304,4208
2019-2020,1,Jammu And Kashmir,3,Baramulla,27,Pattan,7703,6954,12125,2036,4487
2019-2020,1,Jammu And Kashmir,3,Baramulla,30,Singhpora,6549,6274,11889,3582,4270
2019-2020,1,Jammu And Kashmir,3,Baramulla,26,Kunzer,2735,2594,4283,837,1909
2019-2020,1,Jammu And Kashmir,3,Baramulla,33,Tangmarg,4475,4399,7926,2292,2712
2019-2020,1,Jammu And Kashmir,3,Baramulla,7012,Nadihal,3349,2986,5131,986,1601
2019-2020,1,Jammu And Kashmir,3,Baramulla,7013,Narwav,4077,3675,5569,762,2697
2019-2020,1,Jammu And Kashmir,3,Baramulla,7015,Parenpillan,6342,6105,10971,3890,4149
2019-2020,1,Jammu And Kashmir,3,Baramulla,7006,Bijhama,2995,2962,3869,912,1727
2019-2020,1,Jammu And Kashmir,3,Baramulla,7014,Noorkhah,2878,2805,4163,1058,2010
2019-2020,1,Jammu And Kashmir,3,Baramulla,7009,Kangroosa,1065,1026,3081,1337,711
2019-2020,1,Jammu And Kashmir,3,Baramulla,7016,Sangrama,2857,2748,4616,565,1875
2019-2020,1,Jammu And Kashmir,3,Baramulla,7018,Tujjar Sharief,3230,3175,6895,1966,2239
2019-2020,1,Jammu And Kashmir,3,Baramulla,7008,Hardaboora,2508,2433,4331,1056,1565
2019-2020,1,Jammu And Kashmir,3,Baramulla,7011,Lalpora,2314,2194,4146,897,1471
2019-2020,1,Jammu And Kashmir,3,Baramulla,7019,Wailoo,2049,1930,3281,825,1315
2019-2020,1,Jammu And Kashmir,3,Baramulla,7010,Khaipora,1665,1591,2934,802,1018
2019-2020,1,Jammu And Kashmir,3,Baramulla,7007,Chandil Wanigam,1428,1376,3307,1297,938
2019-2020,1,Jammu And Kashmir,3,Baramulla,7017,Khore Sherabad,3382,3267,5616,1181,2335
2019-2020,1,Jammu And Kashmir,4,Doda,40,Bhagwah,6458,6398,12492,5998,5668
2019-2020,1,Jammu And Kashmir,4,Doda,43,Doda,5988,5898,11101,5312,5304
2019-2020,1,Jammu And Kashmir,4,Doda,39,Bhaderwah,7275,7161,12852,5527,6440
2019-2020,1,Jammu And Kashmir,4,Doda,54,Thathri,3565,3509,5760,2789,2870
2019-2020,1,Jammu And Kashmir,4,Doda,41,Bhalessa(Gandoh),4931,4849,8253,4483,4536
2019-2020,1,Jammu And Kashmir,4,Doda,37,Assar,6647,6480,12000,4991,5189
2019-2020,1,Jammu And Kashmir,4,Doda,48,Marmat,4328,4269,7107,3316,4054
2019-2020,1,Jammu And Kashmir,4,Doda,45,Gundana,7303,7117,12831,6580,6124
2019-2020,1,Jammu And Kashmir,4,Doda,6987,Bhalla,5244,5169,9707,4197,4691
2019-2020,1,Jammu And Kashmir,4,Doda,6984,Khalleni,2384,2299,4042,1805,1974
2019-2020,1,Jammu And Kashmir,4,Doda,6983,Kastigarh,4942,4821,9569,4681,4207
2019-2020,1,Jammu And Kashmir,4,Doda,6988,Dali Udhayanpur,4589,4527,8104,4124,4303
2019-2020,1,Jammu And Kashmir,4,Doda,6985,Chiralla,3172,3126,5425,2478,2527
2019-2020,1,Jammu And Kashmir,4,Doda,6986,Kahra,6273,6197,11934,6028,5594
2019-2020,1,Jammu And Kashmir,4,Doda,6989,Changa,6501,6328,12342,6583,5643
2019-2020,1,Jammu And Kashmir,4,Doda,6991,Chilli Pingal,2838,2803,5289,2662,2535
2019-2020,1,Jammu And Kashmir,4,Doda,6990,Jakyas,3851,3773,7423,3869,3186
2019-2020,1,Jammu And Kashmir,626,Ganderbal,119,Ganderbal,6052,5960,8705,2421,3746
2019-2020,1,Jammu And Kashmir,626,Ganderbal,121,Lar,5741,5635,10430,3916,4202
2019-2020,1,Jammu And Kashmir,626,Ganderbal,6546,Wakura,4080,3957,5583,929,2732
2019-2020,1,Jammu And Kashmir,626,Ganderbal,120,Kangan,9173,8824,19398,8487,6559
2019-2020,1,Jammu And Kashmir,626,Ganderbal,6885,Sherpathri,3105,2996,4841,1123,1921
2019-2020,1,Jammu And Kashmir,626,Ganderbal,6886,Safapora,1882,1812,2865,734,1103
2019-2020,1,Jammu And Kashmir,626,Ganderbal,6887,Gund,4277,4159,8382,3678,2922
2019-2020,1,Jammu And Kashmir,5,Jammu,57,Bhalwal,4109,4041,6742,1592,2855
2019-2020,1,Jammu And Kashmir,5,Jammu,58,Bishnah,6080,5077,7968,1446,3279
2019-2020,1,Jammu And Kashmir,5,Jammu,59,Dansal,4843,4472,7087,2085,3476
2019-2020,1,Jammu And Kashmir,5,Jammu,60,Khour,5221,4560,8086,1531,2686
2019-2020,1,Jammu And Kashmir,5,Jammu,61,Marh,7401,6528,8708,1333,4919
2019-2020,1,Jammu And Kashmir,5,Jammu,63,R.S. Pura,2856,2548,3913,345,1738
2019-2020,1,Jammu And Kashmir,5,Jammu,65,Satwari,3705,3509,4221,1400,2365
2019-2020,1,Jammu And Kashmir,5,Jammu,56,Akhnoor,7075,5966,10049,2559,3940
2019-2020,1,Jammu And Kashmir,5,Jammu,6868,Mandal Phallain,4086,3930,4697,794,3418
2019-2020,1,Jammu And Kashmir,5,Jammu,6863,Bhalwal Brahmana,4891,4392,8031,2314,3530
2019-2020,1,Jammu And Kashmir,5,Jammu,6864,Maira Mandrian,3326,3136,6916,2822,2701
2019-2020,1,Jammu And Kashmir,5,Jammu,6865,Chowki Choura,3113,2911,4435,996,2067
2019-2020,1,Jammu And Kashmir,5,Jammu,6981,Mathwar,3653,3464,5199,1834,2637
2019-2020,1,Jammu And Kashmir,5,Jammu,6862,Arnia,3976,3391,5203,721,2196
2019-2020,1,Jammu And Kashmir,5,Jammu,6867,Nagrota,5803,5230,7276,2033,4062
2019-2020,1,Jammu And Kashmir,5,Jammu,6866,Samwan,1255,1091,2046,486,796
2019-2020,1,Jammu And Kashmir,5,Jammu,6979,Kharah Balli,2263,2108,3080,550,1272
2019-2020,1,Jammu And Kashmir,5,Jammu,6980,Pargwal,2973,2532,3065,809,2018
2019-2020,1,Jammu And Kashmir,5,Jammu,7037,Miran Sahib,3340,2700,4615,789,1219
2019-2020,1,Jammu And Kashmir,5,Jammu,6982,Suchetgarh,4084,3534,5375,420,2105
2019-2020,37,Ladakh,6,Kargil,68,Kargil,4563,4549,4933,3695,4191
2019-2020,37,Ladakh,6,Kargil,67,Drass,4452,4450,5845,4551,4425
2019-2020,37,Ladakh,6,Kargil,71,Shargole,1595,1593,1658,1344,1576
2019-2020,37,Ladakh,6,Kargil,70,Shaker-Chiktan,3446,3434,3694,2560,3414
2019-2020,37,Ladakh,6,Kargil,6540,Gm Pore/Trespone,3752,3732,4514,1642,3714
2019-2020,37,Ladakh,6,Kargil,69,Sankoo,4171,4149,4501,2192,3029
2019-2020,37,Ladakh,6,Kargil,72,Taisuru,3288,3288,3724,2476,3260
2019-2020,37,Ladakh,6,Kargil,73,Zanskar,2398,2356,2696,1892,2265
2019-2020,37,Ladakh,6,Kargil,6541,Lungnak,1010,980,1275,549,944
2019-2020,37,Jammu And Kashmir,6,Kargil,7043,Karsha,2145,2135,2636,1630,2106
2019-2020,37,Jammu And Kashmir,6,Kargil,7040,Pashkum,1050,1024,1140,781,978
2019-2020,37,Ladakh,6,Kargil,67,Bhimbat Drass,4452,4450,5845,4551,4425
2019-2020,37,Jammu And Kashmir,6,Kargil,7042,Barsoo,1554,1540,1658,579,1530
2019-2020,37,Jammu And Kashmir,6,Kargil,7041,Lotsum,816,814,924,553,814
2019-2020,37,Jammu And Kashmir,6,Kargil,7038,Sodh,3832,3807,4262,3042,3774
2019-2020,1,Jammu And Kashmir,7,Kathua,75,Barnoti,6971,6298,12177,4022,4513
2019-2020,1,Jammu And Kashmir,7,Kathua,81,Kathua,4669,4253,6798,1712,3136
2019-2020,1,Jammu And Kashmir,7,Kathua,74,Bani,4308,4183,9038,3672,3444
2019-2020,1,Jammu And Kashmir,7,Kathua,76,Basohli,2616,2453,4027,1135,1935
2019-2020,1,Jammu And Kashmir,7,Kathua,78,Duggan,3039,2937,5730,2036,1904
2019-2020,1,Jammu And Kashmir,7,Kathua,77,Billawar,3765,3604,4647,543,3004
2019-2020,1,Jammu And Kashmir,7,Kathua,80,Hiranagar,3691,3485,6512,2625,2291
2019-2020,1,Jammu And Kashmir,7,Kathua,82,Lohai-Malhar,2724,2597,4117,1331,1784
2019-2020,1,Jammu And Kashmir,7,Kathua,6968,Duggain,2885,2670,3490,386,2184
2019-2020,1,Jammu And Kashmir,7,Kathua,6969,Baggan,2197,2099,3538,1074,1720
2019-2020,1,Jammu And Kashmir,7,Kathua,6978,Marheen,5298,4941,8499,2050,3361
2019-2020,1,Jammu And Kashmir,7,Kathua,6976,Nagri,2890,2613,3972,884,1829
2019-2020,1,Jammu And Kashmir,7,Kathua,6971,Mahanpur,3196,3057,4926,1075,2369
2019-2020,1,Jammu And Kashmir,7,Kathua,6973,Mandli,2039,1946,2818,659,1486
2019-2020,1,Jammu And Kashmir,7,Kathua,6974,Nagrota Gujroo,3488,3381,4756,578,2756
2019-2020,1,Jammu And Kashmir,7,Kathua,6977,Dinga Amb,3236,3006,4918,1865,2155
2019-2020,1,Jammu And Kashmir,7,Kathua,6975,Keerian Gangyal,3394,3013,4240,938,2021
2019-2020,1,Jammu And Kashmir,7,Kathua,6972,Dhar Mahanpur,1595,1539,3109,802,1278
