year,state_code,state_name,district_code,district_name,block_code,block_name,num_jobcards_applied,num_jobcards_issued,total_reg_workers,women_reg_workers,num_of_active_job_cards
2019-2020,28,Andhra Pradesh,754,Sri Sathya Sai,4731,Puttaparthi,8532,8532,11925,6157,4885
2019-2020,28,Andhra Pradesh,754,Sri Sathya Sai,4695,Bukkapatnam,12375,12375,15156,8119,5530
2019-2020,28,Andhra Pradesh,754,Sri Sathya Sai,4714,Kothacheruvu,11160,11160,14259,7502,4764
2019-2020,28,Andhra Pradesh,754,Sri Sathya Sai,4729,Penu Konda,11961,11961,10972,5703,5390
2019-2020,28,Andhra Pradesh,754,Sri Sathya Sai,4735,Roddam,16057,16057,18358,9307,6409
2019-2020,28,Andhra Pradesh,754,Sri Sathya Sai,4739,Somandepalle,8982,8982,12391,6295,4462
2019-2020,28,Andhra Pradesh,754,Sri Sathya Sai,4698,Chilamathur,15497,15497,13989,7094,5049
2019-2020,28,Andhra Pradesh,754,Sri Sathya Sai,4717,Lepakshi,11636,11636,9195,4961,4103
2019-2020,28,Andhra Pradesh,754,Sri Sathya Sai,4708,Hindupur,10304,10304,6259,3348,2759
2019-2020,28,Andhra Pradesh,754,Sri Sathya Sai,4726,Parigi,12021,12021,13481,7062,5100
2019-2020,28,Andhra Pradesh,754,Sri Sathya Sai,4718,Madakasira,15860,15860,18484,9457,6216
2019-2020,28,Andhra Pradesh,754,Sri Sathya Sai,4705,Gudibanda,13364,13364,18519,9461,6371
2019-2020,28,Andhra Pradesh,754,Sri Sathya Sai,4688,Amarapuram,13186,13186,15786,8073,5048
2019-2020,28,Andhra Pradesh,754,Sri Sathya Sai,4686,Agali,9666,9666,12335,6246,4622
2019-2020,28,Andhra Pradesh,754,Sri Sathya Sai,4736,Rolla,8478,8478,11596,5736,5177
2019-2020,28,Andhra Pradesh,753,Annamayya,4780,Peddamandyam,9253,9253,14542,7645,5612
2019-2020,28,Andhra Pradesh,753,Annamayya,4801,Thamballapalle,9037,9037,14051,7312,5657
2019-2020,28,Andhra Pradesh,753,Annamayya,4771,Mulakalacheruvu,12062,12062,16777,8811,6620
2019-2020,28,Andhra Pradesh,753,Annamayya,4782,Peddathippasamudram,13310,13310,13951,7343,5638
2019-2020,28,Andhra Pradesh,753,Annamayya,4749,B Kothakota,12423,12423,8828,4585,5076
2019-2020,28,Andhra Pradesh,753,Annamayya,4769,Kurabalakota,7982,7982,10442,5640,3733
2019-2020,28,Andhra Pradesh,753,Annamayya,4761,Gurramkonda,11118,11118,11283,5867,5264
2019-2020,28,Andhra Pradesh,753,Annamayya,4764,Kalakada,10043,10043,13666,7128,5540
2019-2020,28,Andhra Pradesh,753,Annamayya,4766,Kambhamvaripalle,10942,10942,11732,5923,5759
2019-2020,28,Andhra Pradesh,752,Tirupati,4814,Yerravaripalem,8546,8546,12705,6478,5770
2019-2020,28,Andhra Pradesh,752,Tirupati,4804,Tirupati Urban,12670,12670,10533,7176,4297
2019-2020,28,Andhra Pradesh,752,Tirupati,4793,Renigunta,12319,12319,7174,4454,3987
2019-2020,28,Andhra Pradesh,752,Tirupati,4813,Yerpedu,14186,14186,16139,9082,7259
2019-2020,28,Andhra Pradesh,752,Tirupati,4799,Srikalahasti,14004,14004,20366,11118,8900
2019-2020,28,Andhra Pradesh,752,Tirupati,4803,Thottambedu,11627,11627,16210,8638,7190
2019-2020,28,Andhra Pradesh,752,Tirupati,4752,Buchinaidu Khandriga,10478,10478,12294,6648,6529
2019-2020,28,Andhra Pradesh,752,Tirupati,4808,Varadaiahpalem,10669,10669,12159,7077,5038
2019-2020,28,Andhra Pradesh,752,Tirupati,4796,Satyavedu,10041,10041,16141,9390,6765
2019-2020,28,Andhra Pradesh,752,Tirupati,4772,Nagalapuram,7931,7931,12233,7034,5437
2019-2020,28,Andhra Pradesh,752,Tirupati,4785,Pichatur,7434,7434,10125,5894,4397
2019-2020,28,Andhra Pradesh,503,Chittoor,4811,Vijaya Puram,7263,7263,11798,6734,5355
2019-2020,28,Andhra Pradesh,503,Chittoor,4776,Nindra,5934,5934,11264,6442,4589
2019-2020,28,Andhra Pradesh,752,Tirupati,4763,K V B Puram,11467,11467,17353,9340,7436
2019-2020,28,Andhra Pradesh,752,Tirupati,4774,Narayanavanam,8469,8469,13243,7520,5363
