state_name,state_code,district_name,district_code,block_name,block_code,gw_stge_of_extraction,gw_extraction_category
Punjab,3,Jalandhar,34,Bhogpur,278,235.2521505911977,Over-exploited
Punjab,3,Jalandhar,34,Jalandhar - West,279,243.4363149978909,Over-exploited
Punjab,3,Jalandhar,34,Jalandhar-East,280,328.5047325445115,Over-exploited
Punjab,3,Jalandhar,34,Lohian,281,260.1278281626298,Over-exploited
Punjab,3,Jalandhar,34,Nakodar,282,295.5854693,Over-exploited
Punjab,3,Jalandhar,34,Nurmahal,283,221.1942334190664,Over-exploited
Punjab,3,Jalandhar,34,Phillaur,284,269.09841436568496,Over-exploited
Punjab,3,Jalandhar,34,Rurka Kalan,285,261.3177682343341,Over-exploited
Punjab,3,Jalandhar,34,Shahkot,286,307.2367343901168,Over-exploited
Punjab,3,Jalandhar,34,Mehatpur,6906,244.8453884891873,Over-exploited
Punjab,3,Kapurthala,35,Dhilwan,287,188.59846774879452,Over-exploited
Punjab,3,Kapurthala,35,Kapurthala,288,260.8529754910712,Over-exploited
Punjab,3,Kapurthala,35,Nadala,289,166.96791553107255,Over-exploited
Punjab,3,Kapurthala,35,Phagwara,290,280.1022477622404,Over-exploited
Punjab,3,Kapurthala,35,Sultanpur Lodhi,291,228.87968800056024,Over-exploited
Punjab,3,Ludhiana,36,Dehlon,292,232.87293117433063,Over-exploited
Punjab,3,Ludhiana,36,Doraha,293,155.65156815983391,Over-exploited
Punjab,3,Ludhiana,36,Jagraon,294,155.75295226454574,Over-exploited
Punjab,3,Ludhiana,36,Khanna,295,310.2335900628312,Over-exploited
Punjab,3,Ludhiana,36,Ludhiana-1,296,238.844686995406,Over-exploited
Punjab,3,Ludhiana,36,Machhiwara,298,148.0681069832632,Over-exploited
Punjab,3,Ludhiana,36,Pakhowal,299,261.9480363079945,Over-exploited
Punjab,3,Ludhiana,36,Raikot,300,273.5963291889879,Over-exploited
Punjab,3,Ludhiana,36,Samrala,301,213.6956995157159,Over-exploited
Punjab,3,Ludhiana,36,Sidhwan Bet,302,230.0665842002917,Over-exploited
Punjab,3,Ludhiana,36,Sudhar,303,214.62128222075347,Over-exploited
Punjab,3,Ludhiana,36,Maloud,7085,217.5298502436493,Over-exploited
Punjab,3,Mansa,37,Bhikhi,304,191.9785582846628,Over-exploited
Punjab,3,Mansa,37,Budhlada,305,143.82854588700448,Over-exploited
Punjab,3,Mansa,37,Jhunir,306,119.7322998889942,Over-exploited
Punjab,3,Mansa,37,Mansa,307,163.4900162719834,Over-exploited
Punjab,3,Mansa,37,Sardulgarh,308,170.18064043521747,Over-exploited
Punjab,3,Moga,38,Baghapurana,309,221.2423146865258,Over-exploited
Punjab,3,Moga,38,Kot-Ise-Khan,310,181.48431307933453,Over-exploited
Punjab,3,Moga,38,Moga-I,311,339.1145147470658,Over-exploited
Punjab,3,Moga,38,Moga-Ii,312,335.61227707239044,Over-exploited
Punjab,3,Moga,38,Nihal Singh Wala,313,300.70120621117104,Over-exploited
Punjab,3,Sri Muktsar Sahib,39,Gidderbaha,314,62.90184515,Safe
Punjab,3,Sri Muktsar Sahib,39,Lambi,315,26.710851015560976,Safe
Punjab,3,Sri Muktsar Sahib,39,Malout,316,47.50822538072808,Safe
Punjab,3,Sri Muktsar Sahib,39,Muktsar,317,42.631471153992365,Safe
Punjab,3,Shahid Bhagat Singh Nagar,40,Aur,318,100.94864316473492,Over-exploited
Punjab,3,Shahid Bhagat Singh Nagar,40,Balachaur,319,87.91876902384811,Semi-critical
Punjab,3,Shahid Bhagat Singh Nagar,40,Banga,320,165.93522794823724,Over-exploited
Punjab,3,Shahid Bhagat Singh Nagar,40,Nawanshahr,321,157.81452450180643,Over-exploited
Punjab,3,Shahid Bhagat Singh Nagar,40,Saroya,322,43.786878444852725,Safe
Punjab,3,Patiala,41,Bhuner Heri,323,275.5518048185492,Over-exploited
Punjab,3,Patiala,41,Ghanaur,325,105.62505379737756,Over-exploited
Punjab,3,Patiala,41,Nabha,326,234.33056976859191,Over-exploited
Punjab,3,Patiala,41,Patiala,327,215.8915621343448,Over-exploited
Punjab,3,Patiala,41,Patran,328,316.6491989,Over-exploited
Punjab,3,Patiala,41,Rajpura,329,176.41025801101463,Over-exploited
Punjab,3,Patiala,41,Samana,330,204.48412651632148,Over-exploited
Punjab,3,Patiala,41,Sanour,331,254.2402931528191,Over-exploited
Punjab,3,Patiala,41,Shambu Kalan,7337,207.0165908011505,Over-exploited
Punjab,3,Rupnagar,42,Anandpur Sahib,332,79.33051655915567,Semi-critical
Punjab,3,Rupnagar,42,Chamkaur Sahib,333,126.31695642328788,Over-exploited
Punjab,3,Rupnagar,42,Morinda,336,146.85443781330636,Over-exploited
Punjab,3,Rupnagar,42,Nurpur Bedi,337,91.72944651320938,Critical
Punjab,3,Rupnagar,42,Rupnagar,338,55.153659382587584,Safe
Punjab,3,Sangrur,43,Andana,340,244.188492,Over-exploited
Punjab,3,Sangrur,43,Bhawani Garh,342,303.0700802367655,Over-exploited
Punjab,3,Sangrur,43,Dhuri,343,331.71541797610263,Over-exploited
Punjab,3,Sangrur,43,Lehragaga,344,286.8929363036803,Over-exploited
Punjab,3,Sangrur,43,Malerkotla,345,285.09718098635153,Over-exploited
Punjab,3,Sangrur,43,Sangrur,347,324.1466029333995,Over-exploited
Punjab,3,Sangrur,43,Sherpur,349,269.7657539538532,Over-exploited
Punjab,3,Sangrur,43,Sunam,350,337.7619633694169,Over-exploited
Punjab,3,Sangrur,43,Dirba,6736,341.59246718501794,Over-exploited
Punjab,3,Barnala,605,Barnala,341,295.65854381405893,Over-exploited
Punjab,3,Barnala,605,Mehal Kalan,346,118.15222037250297,Over-exploited
Punjab,3,Barnala,605,Sehna,348,206.19229249535408,Over-exploited
Punjab,3,S.A.S Nagar,608,Dera Bassi,324,133.1750679,Over-exploited
Punjab,3,S.A.S Nagar,608,Kharar,334,100.56401699514346,Over-exploited
Punjab,3,S.A.S Nagar,608,Majri,335,54.19495390501156,Safe
Punjab,3,Tarn Taran,609,Bhikhi Wind-13,211,194.27650963445063,Over-exploited
Punjab,3,Tarn Taran,609,Chohla Sahib-8,213,217.94045650604227,Over-exploited
Punjab,3,Tarn Taran,609,Gandiwind-9,214,118.32914467845184,Over-exploited
Punjab,3,Tarn Taran,609,Khadur-Sahib-10,217,211.61214662293992,Over-exploited
Punjab,3,Tarn Taran,609,Naushehra Pannuan-11,219,215.40795330208863,Over-exploited
Punjab,3,Tarn Taran,609,Patti-14,220,224.5453892771924,Over-exploited
Punjab,3,Tarn Taran,609,Tarn Taran-12,222,225.0059210752311,Over-exploited
Punjab,3,Tarn Taran,609,Valtoha-15,224,158.84066613515287,Over-exploited
Punjab,3,Fazilka,651,Abohar,241,32.48503716896126,Safe
Punjab,3,Fazilka,651,Fazilka,242,95.74422778736488,Critical
Punjab,3,Fazilka,651,Guru Har Sahai,245,106.25677879764908,Over-exploited
Punjab,3,Fazilka,651,Jalalabad,246,137.35856212950546,Over-exploited
Punjab,3,Fazilka,651,Khuian Sarwar,247,35.02749081946567,Safe
Punjab,3,Fazilka,651,Arniwala Shiekh Subhan,6735,124.26577630834092,Over-exploited
Punjab,3,Pathankot,662,Bamial,251,82.64507261,Semi-critical
Punjab,3,Pathankot,662,Dharkalan,255,42.32795590555559,Safe
Punjab,3,Pathankot,662,Narot Jaimal Singh,262,84.55141320572884,Semi-critical
Punjab,3,Pathankot,662,Pathankot,263,54.47680178887395,Safe
Punjab,3,Pathankot,662,Sujanpur,266,31.64448572012814,Safe
Punjab,3,Pathankot,662,Gharota,6779,70.01270956224775,Semi-critical
Uttarakhand,5,Dehradun,49,Doiwala,380,21.884438119037178,Safe
Uttarakhand,5,Dehradun,49,Sahaspur,383,17.659672402034886,Safe
Uttarakhand,5,Dehradun,49,Vikasnagar,384,30.18028026930003,Safe
Uttarakhand,5,Haridwar,50,Bahadrabad,385,70.75735240858307,Semi-critical
Uttarakhand,5,Haridwar,50,Bhagwanpur,386,70.28164034229964,Semi-critical
Uttarakhand,5,Haridwar,50,Khanpur,387,57.89913151,Safe
Uttarakhand,5,Haridwar,50,Laksar,388,64.24684134547823,Safe
Uttarakhand,5,Haridwar,50,Narsan,389,37.76534124229693,Safe
Uttarakhand,5,Haridwar,50,Roorkee,390,67.35153401448915,Safe
Uttarakhand,5,Nainital,51,Haldwani,394,84.16565196,Semi-critical
Uttarakhand,5,Nainital,51,Ramnagar,398,34.641786608830735,Safe
Uttarakhand,5,Udam Singh Nagar,56,Bajpur,434,42.970792584543446,Safe
Uttarakhand,5,Udam Singh Nagar,56,Gadarpur,435,52.19120635120132,Safe
Uttarakhand,5,Udam Singh Nagar,56,Jaspur,436,62.76887074956604,Safe
Uttarakhand,5,Udam Singh Nagar,56,Kashipur,437,70.10784451437473,Semi-critical
Uttarakhand,5,Udam Singh Nagar,56,Khatima,438,66.18829060607077,Safe
Uttarakhand,5,Udam Singh Nagar,56,Rudrapur,439,42.68228441094491,Safe
Uttarakhand,5,Udam Singh Nagar,56,Sitarganj,440,41.65573106988111,Safe
Haryana,6,Ambala,58,Ambala-I,447,97.47150519,Critical
Haryana,6,Ambala,58,Ambala-Ii,448,87.85594454072792,Semi-critical
