as_on,state_name,state_code,district_name,district_code,block_name,block_code,sc_population,st_population,gen_population
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Tadipatri,4741,10345,471,48629
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Talupula,4742,4191,2465,37561
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Tanakal,4743,7802,6293,37589
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Uravakonda,4744,14181,2795,72733
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Vajrakarur,4745,9041,4723,39567
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Vidapanakal,4746,8484,178,52515
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Yadiki,4747,8410,745,49578
01-04-2021,Andhra Pradesh,28,Ananthapuramu,502,Yellanur,4748,6834,345,32063
01-04-2021,Andhra Pradesh,28,Chittoor,503,B.Kothakota,4749,6218,5046,45101
01-04-2021,Andhra Pradesh,28,Chittoor,503,Baireddipalle,4750,12403,1755,45657
01-04-2021,Andhra Pradesh,28,Chittoor,503,Bangarupalem,4751,22932,3819,54178
01-04-2021,Andhra Pradesh,28,Chittoor,503,Buchinaidu Khandriga,4752,10979,5832,16128
01-04-2021,Andhra Pradesh,28,Chittoor,503,Chandragiri,4753,12405,2867,41689
01-04-2021,Andhra Pradesh,28,Chittoor,503,Chinnagottigallu,4754,5548,603,20437
01-04-2021,Andhra Pradesh,28,Chittoor,503,Chittoor,4755,11196,693,17467
01-04-2021,Andhra Pradesh,28,Chittoor,503,Chowdepalle,4756,7967,992,35699
01-04-2021,Andhra Pradesh,28,Chittoor,503,Gangadhara Nellore,4757,26490,854,43734
01-04-2021,Andhra Pradesh,28,Chittoor,503,Gangavaram,4758,11868,919,42951
01-04-2021,Andhra Pradesh,28,Chittoor,503,Gudupalle,4760,6605,450,38783
01-04-2021,Andhra Pradesh,28,Chittoor,503,Gudipala,4759,17131,954,29287
01-04-2021,Andhra Pradesh,28,Chittoor,503,Gurramkonda,4761,4086,902,36868
01-04-2021,Andhra Pradesh,28,Chittoor,503,Irala,4762,14740,1291,38438
01-04-2021,Andhra Pradesh,28,Chittoor,503,K V B Puram,4763,13111,3844,25728
01-04-2021,Andhra Pradesh,28,Chittoor,503,Kalakada,4764,4357,1225,34076
01-04-2021,Andhra Pradesh,28,Chittoor,503,Kalikiri,4765,7672,103,40322
01-04-2021,Andhra Pradesh,28,Chittoor,503,Kambhamvaripalle,4766,6915,2275,37853
01-04-2021,Andhra Pradesh,28,Chittoor,503,Karvetinagar,4767,17208,1912,32522
01-04-2021,Andhra Pradesh,28,Chittoor,503,Kuppam,4768,17866,599,117068
01-04-2021,Andhra Pradesh,28,Chittoor,503,Kurabalakota,4769,4486,666,40764
01-04-2021,Andhra Pradesh,28,Chittoor,503,Madanapalle,4770,9943,2430,86763
01-04-2021,Andhra Pradesh,28,Chittoor,503,Molakalacheruvu,4771,7634,1064,35071
01-04-2021,Andhra Pradesh,28,Chittoor,503,Nagalapuram,4772,15095,3393,19968
01-04-2021,Andhra Pradesh,28,Chittoor,503,Nagari,4773,10579,1889,23318
01-04-2021,Andhra Pradesh,28,Chittoor,503,Narayanavanam,4774,10690,2175,24994
01-04-2021,Andhra Pradesh,28,Chittoor,503,Nimmanapalle,4775,4369,49,28953
01-04-2021,Andhra Pradesh,28,Chittoor,503,Nindra,4776,10057,3059,17560
01-04-2021,Andhra Pradesh,28,Chittoor,503,P.T.M,4782,9308,316,47592
01-04-2021,Andhra Pradesh,28,Chittoor,503,Pakala,4777,15198,1107,45915
01-04-2021,Andhra Pradesh,28,Chittoor,503,Palamaner,4778,6913,1742,22176
